Name,Start Salary,End Salary,Expected Salary,Education,Responsibility,Effort,Average Workplace Salary,Average Other Salary,Condition,Run ID
Arnault,60486.424912188,62000,67200.0,a PhD,high,low,55276.752767894955,54697.90030741795,open,10650582
Roberta,30809.908998735285,31000,30000.0,high school,low,low,55276.752767894955,57995.290964468244,open,10650582
Andreas,81284.42244046787,56000,60479.99999999999,a Bachelor's degree,medium,high,55276.752767894955,52387.011693164626,open,10650582
Anna,45838.216525330085,55000,67200.0,a PhD,low,high,55276.752767894955,56325.47901706883,open,10650582
Josh,64204.430006603005,56000,57600.0,a PhD,low,medium,55276.752767894955,54284.78863026072,open,10650582
Sabrina,55976.837872697506,60000,51840.0,a Bachelor's degree,medium,medium,55276.752767894955,55198.965534028,open,10650582
Marc,45356.39937388015,46725,42000.0,high school,high,low,55276.752767894955,56379.014256118826,open,10650582
Camilla,47938.92620740652,44300,42000.0,high school,low,high,55276.752767894955,56092.06683017145,open,10650582
Max,66123.60819782292,48700,50400.0,a Bachelor's degree,low,high,55276.752767894955,54071.54660901407,open,10650582
Caroline,54748.35314381821,57600,57600.0,a PhD,low,medium,55276.752767894955,55335.46383723681,open,10650582
Arnault,92814.4161360139,51800,50400.0,high school,high,medium,69477.85040555058,66884.8986577213,open,1533953
Roberta,43278.64041148062,49000,48000.0,a PhD,low,low,69477.85040555058,72388.87373822501,open,1533953
Andreas,65364.02924350493,66800,67200.0,a PhD,low,high,69477.85040555058,69934.94164577786,open,1533953
Anna,41265.15549616918,43000,43200.0,a Bachelor's degree,medium,low,69477.85040555058,72612.59428437072,open,1533953
Josh,117313.03934360926,58000,60480.0,a Bachelor's degree,high,medium,69477.85040555058,64162.82941243294,open,1533953
Sabrina,69827.73095355513,58000,69120.0,a PhD,medium,medium,69477.85040555058,69438.97478910563,open,1533953
Marc,107568.6272450872,55000,69120.0,a PhD,medium,medium,69477.85040555058,65245.541867824286,open,1533953
Camilla,48683.40063619749,52500,50400.0,high school,medium,high,69477.85040555058,71788.34482436758,open,1533953
Max,36580.32767148939,38409,36000.0,high school,low,medium,69477.85040555058,73133.13070933515,open,1533953
Caroline,72083.13691839864,81500,80640.0,a PhD,medium,high,69477.85040555058,69188.37412634522,open,1533953
Arnault,42950.345843094045,43500,42000.0,a Master's degree,low,low,55410.88800066919,56795.392684844206,open,27666
Roberta,68452.45361754266,75000,80640.0,a PhD,medium,high,55410.88800066919,53961.82515434992,open,27666
Andreas,54270.953716746924,54500,67200.0,a PhD,high,low,55410.88800066919,55537.54736554944,open,27666
Anna,51778.86193442645,48000,48000.0,a PhD,low,low,55410.88800066919,55814.44645247394,open,27666
Josh,67870.13515086527,57000,82319.99999999999,a Master's degree,high,high,55410.88800066919,54026.527206202954,open,27666
Sabrina,41315.91354093061,54080,42000.0,a Master's degree,low,low,55410.88800066919,56976.99627397348,open,27666
Marc,48315.54079150565,51900,50400.0,high school,high,medium,55410.88800066919,56199.25991279847,open,27666
